"Price","Age_08_04","KM","HP","cc","Quarterly_Tax","Weight","Age2","weight2","Quarterly_Tax2","pred","Error"
14900,30,7000,97,1400,85,1100,900,1210000,7225,15520.7599531349,-620.759953134851
17950,20,66966,90,2000,210,1245,400,1550025,44100,18820.1946795455,-870.194679545464
15950,19,51884,97,1400,85,1100,361,1210000,7225,16672.1016384546,-722.101638454635
21950,19,50005,110,2000,234,1265,361,1600225,54756,20367.0594900168,1582.94050998324
16450,20,48110,97,1400,85,1100,400,1210000,7225,16552.3265133858,-102.326513385804
22250,20,37500,90,2000,234,1260,400,1587600,54756,19553.8822742817,2696.11772571826
19950,16,34472,90,1995,234,1260,256,1587600,54756,20342.4490497172,-392.449049717245
15950,20,33329,97,1400,85,1100,400,1210000,7225,16786.8785001357,-836.878500135685
18900,20,31850,110,1600,85,1120,400,1254400,7225,17308.4994872283,1591.50051277168
19950,17,30351,90,1995,234,1260,289,1587600,54756,20222.0325822926,-272.032582292559
15950,19,29435,97,1400,85,1100,361,1210000,7225,17028.3331214766,-1078.33312147663
15950,19,25948,97,1400,85,1100,361,1210000,7225,17083.6665074314,-1133.66650743136
18750,11,24500,110,1600,85,1120,121,1254400,7225,19115.8701418869,-365.870141886866
17450,18,23902,97,1400,85,1100,324,1210000,7225,17297.8454145947,152.154585405297
18990,20,23175,110,1600,85,1120,400,1254400,7225,17446.1585417615,1543.84145823848
16250,19,19200,97,1400,85,1100,361,1210000,7225,17190.7470031074,-940.747003107444
18500,13,18000,71,1400,85,1125,169,1265625,7225,18041.7626000758,458.237399924237
18500,11,16123,110,1600,85,1105,121,1221025,7225,18907.1234404502,-407.123440450232
19450,11,14635,110,1600,100,1155,121,1334025,10000,20241.0669352095,-791.06693520947
16950,19,13748,97,1400,85,1100,361,1210000,7225,17277.2619501178,-327.261950117823
18800,14,11500,110,1600,69,1045,196,1092025,4761,17061.5026553527,1738.49734464726
17450,17,10000,97,1400,85,1100,289,1210000,7225,17702.2102425456,-252.210242545636
17950,20,7187,110,1600,85,1105,400,1221025,7225,17358.1868332992,591.813166700787
32500,4,1,116,2000,283,1480,16,2190400,80089,32779.2341382638,-279.234138263819
31000,4,4000,116,2000,283,1480,16,2190400,80089,32715.7760911078,-1715.77609110782
31275,4,1500,116,2000,283,1480,16,2190400,80089,32755.4472883796,-1480.44728837963
24950,8,13253,116,2000,234,1320,64,1742400,54756,25274.0233118969,-324.023311896854
24950,8,13253,116,2000,234,1320,64,1742400,54756,25274.0233118969,-324.023311896854
22950,7,10000,116,2000,234,1270,49,1612900,54756,23689.2752034143,-739.275203414269
24990,8,6000,90,2000,234,1280,64,1638400,54756,23042.7415313432,1947.25846865679
21950,8,10841,90,2000,234,1270,64,1612900,54756,22613.1775516367,-663.177551636669
17900,7,1,110,1600,85,1105,49,1221025,7225,19967.6739788187,-2067.67397881867
19250,20,63000,90,2000,234,1255,400,1575025,54756,18979.5923430184,270.407656981552
22250,17,57313,110,2000,234,1275,289,1625625,54756,20965.4656286169,1284.53437138314
18950,13,57037,110,1600,85,1115,169,1243225,7225,18093.6786134276,856.321386572436
19950,19,51099,90,2000,234,1255,361,1575025,54756,19348.1058749816,601.894125018436
16350,14,40010,110,1600,85,1115,196,1243225,7225,18171.9130302617,-1821.91303026173
18950,20,39115,110,1600,85,1130,400,1276900,7225,17430.6119315987,1519.38806840129
16950,17,36012,110,1600,85,1130,289,1276900,7225,18024.9878196008,-1074.98781960077
21750,16,36000,110,1600,85,1130,256,1276900,7225,18210.9887103552,3539.01128964479
15950,20,36000,110,1600,19,1075,400,1155625,361,15464.2286646772,485.771335322788
16500,20,35000,97,1400,85,1110,400,1232100,7225,16982.3795182325,-482.37951823253
17950,17,33740,97,1400,85,1135,289,1288225,7225,18136.1960033087,-186.196003308705
15850,13,33477,110,1600,19,1075,169,1155625,361,16804.9381200167,-954.938120016712
16250,20,32627,97,1400,85,1110,400,1232100,7225,17020.0354186829,-770.035418682939
15950,20,29797,97,1400,85,1110,400,1232100,7225,17064.9432139946,-1114.94321399463
16250,19,29441,97,1400,85,1110,361,1232100,7225,17250.2551569565,-1000.25515695651
15950,13,29371,110,1600,19,1105,169,1221025,361,17501.5415145758,-1551.54151457579
16500,20,29000,97,1400,85,1110,400,1232100,7225,17077.5903916849,-577.590391684887
16500,19,27821,97,1400,85,1110,361,1232100,7225,17275.9620927886,-775.962092788646
18450,19,27371,97,1400,85,1135,361,1288225,7225,17871.7891120005,578.210887999518
16250,13,25170,110,1600,19,1105,169,1221025,361,17568.2049944714,-1318.20499447135
23000,11,25000,116,2000,64,1320,121,1742400,4096,24554.5533679138,-1554.55336791384
19900,20,23000,110,1600,85,1130,400,1276900,7225,17686.3324692128,2213.66753078716
16450,20,22588,97,1400,85,1110,400,1232100,7225,17179.3390784476,-729.339078447647
23950,19,21684,192,1800,19,1185,361,1404225,361,20849.4757019941,3100.52429800594
19950,13,21428,110,1600,85,1130,169,1276900,7225,19011.9510011101,938.048998889859
18500,16,20629,110,1600,85,1090,256,1188100,7225,17551.454416959,948.545583041032
18950,15,20270,110,1600,85,1130,225,1276900,7225,18648.4595874427,301.54041255726
16450,16,20105,97,1400,85,1110,256,1232100,7225,17949.6869785338,-1499.68697853382
20500,20,20000,110,1600,100,1165,400,1357225,10000,18729.5066250827,1770.49337491731
19450,19,18328,110,1600,85,1130,361,1276900,7225,17940.1327671448,1509.86723285522
20950,14,17896,110,1600,85,1150,196,1322500,7225,19373.903728289,1576.09627171098
17200,20,17300,97,1400,85,1110,400,1232100,7225,17263.251594917,-63.2515949169865
19950,19,17038,110,1600,85,1130,361,1276900,7225,17960.603104937,1989.39689506297
18450,10,13747,97,1400,85,1110,100,1232100,7225,19208.475513241,-758.475513240992
19500,12,13634,110,1600,85,1115,144,1243225,7225,18976.4256118935,523.574388106543
21750,13,13178,110,1600,85,1130,169,1276900,7225,19142.8659521071,2607.13404789287
16868,15,13157,97,1400,85,1085,225,1177225,7225,17707.17622417,-839.176224169976
19500,16,13000,110,1600,85,1105,256,1221025,7225,17996.8898323586,1503.11016764141
18900,11,12500,110,1600,85,1115,121,1243225,7225,19190.4771102121,-290.477110212123
19750,17,11999,110,1600,85,1130,289,1276900,7225,18406.037603636,1343.96239636399
19750,16,11754,110,1600,100,1180,256,1392400,10000,20002.1901561752,-252.190156175158
18950,16,11000,110,1600,85,1105,256,1221025,7225,18028.626790176,921.373209823952
20750,17,10000,110,1598,85,1105,289,1221025,7225,17862.5130218149,2887.48697818513
19600,9,7650,110,1600,85,1115,81,1243225,7225,19665.700223929,-65.700223928965
19500,14,6500,110,1600,85,1100,196,1210000,7225,18367.7561957215,1132.24380427853
17650,11,6155,97,1400,85,1110,121,1232100,7225,19130.8431270341,-1480.84312703415
19950,14,6000,110,1600,85,1130,196,1276900,7225,19064.8117201693,885.188279830745
19950,14,5459,110,1600,85,1130,196,1276900,7225,19073.3965672589,876.603432741122
20950,14,5278,110,1600,85,1150,196,1322500,7225,19574.1321951593,1375.86780484068
20500,12,5000,110,1600,85,1130,144,1276900,7225,19466.6457810131,1033.35421898685
17795,9,1,98,1400,19,1065,81,1134225,361,17915.9656010065,-120.965601006512
18245,9,1,110,1600,19,1075,81,1155625,361,18124.4763626014,120.52363739863
23750,8,11000,110,1600,85,1130,64,1276900,7225,20167.9568895798,3582.04311042017
19500,8,10077,97,1400,85,1110,64,1232100,7225,19669.072291537,-169.072291536992
18950,8,10000,97,1400,85,1110,64,1232100,7225,19670.294164413,-720.294164412968
21950,8,9788,110,1600,85,1130,64,1276900,7225,20187.1894860172,1762.8105139828
19950,8,8574,110,1600,85,1130,64,1276900,7225,20206.4538194124,-256.453819412396
18950,8,7000,110,1600,85,1115,64,1243225,7225,19878.219082993,-928.21908299299
19950,7,6250,110,1600,85,1115,49,1243225,7225,20094.3740247936,-144.374024793608
21950,8,5000,110,1600,85,1130,64,1276900,7225,20263.1677630322,1686.83223696781
22500,6,3000,110,1600,85,1130,36,1276900,7225,20705.4611209335,1794.53887906649
18500,7,2000,110,1600,19,1075,49,1155625,361,18499.2132036552,0.786796344753384
18700,7,450,97,1400,85,1110,49,1232100,7225,20026.0917206104,-1326.09172061037
21125,2,225,97,1400,85,1110,4,1232100,7225,21081.6685641461,43.3314358538992
21500,2,15,110,1600,85,1130,4,1276900,7225,21598.5321487925,-98.5321487925248
17795,1,1,98,1400,19,1100,1,1210000,361,20307.4817630351,-2512.48176303507
18245,1,1,110,1600,19,1075,1,1155625,361,19799.4897204685,-1554.4897204685
6950,43,243000,69,1900,185,1110,1849,1232100,34225,8375.66529893455,-1425.66529893455
9500,38,180638,90,2000,210,1160,1444,1345600,44100,11608.4395427712,-2108.43954277123
11950,40,179860,90,2000,210,1205,1600,1452025,44100,12608.6409294708,-658.640929470841
7750,43,178858,110,1600,197,1084,1849,1175056,38809,10690.0560978762,-2940.05609787625
11950,40,161000,69,1900,185,1105,1600,1221025,34225,9968.64950878605,1981.35049121395
4350,44,158320,69,1800,64,1110,1936,1232100,4096,9443.29803792028,-5093.29803792028
4750,44,131273,69,1800,64,1110,1936,1232100,4096,9872.49278696459,-5122.49278696459
11750,40,130062,69,1900,185,1140,1600,1299600,34225,11283.7491944483,466.250805551708
13250,41,123425,69,1900,185,1140,1681,1299600,34225,11252.4394562554,1997.56054374461
11950,37,118217,110,1600,85,1075,1369,1155625,7225,12224.1281353034,-274.128135303412
11900,44,110000,69,1900,185,1095,1936,1199025,34225,10025.5496893339,1874.4503106661
14750,39,108847,90,2000,210,1205,1521,1452025,44100,13874.1872897721,875.812710227941
9950,42,105699,97,1400,69,1025,1764,1050625,4761,10641.0645216228,-691.06452162276
11950,39,98823,110,1600,197,1119,1521,1252161,38809,13270.1469661323,-1320.14696613234
11495,44,96829,110,1600,85,1075,1936,1155625,7225,11607.1213332324,-112.121333232442
11250,40,96518,97,1400,69,1025,1600,1050625,4761,11057.9614570583,192.038542941715
10500,42,92204,110,1600,85,1075,1764,1155625,7225,11943.5245393769,-1443.5245393769
10450,35,91456,69,1900,185,1110,1225,1232100,34225,11898.0595465082,-1448.05954650821
12950,43,89968,69,1900,185,1140,1849,1299600,34225,11516.2411942216,1433.75880577841
11500,44,89757,110,1600,69,1045,1936,1092025,4761,11013.8320983136,486.167901686411
12500,40,85389,110,1600,85,1075,1600,1155625,7225,12322.8766537144,177.123346285627
10950,43,85017,97,1400,85,1060,1849,1123600,7225,11588.8432979349,-638.843297934918
11450,41,84312,110,1600,85,1080,1681,1166400,7225,12303.7732540795,-853.77325407947
11950,37,82743,110,1600,197,1121,1369,1256641,38809,13855.5263504975,-1905.52635049754
13250,41,81106,69,1900,185,1140,1681,1299600,34225,11923.9776151938,1326.02238480622
14750,40,80425,90,2000,210,1205,1600,1452025,44100,14186.52312976,563.476870239961
11790,34,78677,110,1600,85,1105,1156,1221025,7225,13923.6402323305,-2133.64023233053
11450,40,78425,110,1600,85,1075,1600,1155625,7225,12433.3847408347,-983.384740834748
13500,33,78108,90,2000,210,1170,1089,1368900,44100,14237.9660581968,-737.966058196833
10950,33,77321,110,1600,85,1075,1089,1155625,7225,13464.6839462011,-2514.68394620112
13500,33,75699,69,1900,185,1105,1089,1221025,34225,12336.0270328305,1163.97296716955
10950,41,75697,97,1400,69,1025,1681,1050625,4761,11251.7302237068,-301.73022370676
10950,44,74846,97,1400,69,1025,1936,1050625,4761,10867.6432102021,82.3567897979046
12950,38,74319,110,1600,85,1075,1444,1155625,7225,12777.9460851914,172.053914808615
11950,43,74285,110,1600,85,1075,1849,1155625,7225,12095.3414499237,-145.341449923699
11950,40,73042,110,1598,85,1075,1600,1155625,7225,12522.632984538,-572.632984538044
14950,44,71793,110,1600,197,1067,1936,1138489,38809,11919.6689362175,3030.33106378253
12450,35,71200,110,1600,85,1075,1225,1155625,7225,13261.9171871868,-811.917187186757
12950,38,67805,110,1600,85,1075,1444,1155625,7225,12881.3133568028,68.6866431971703
11950,35,65988,110,1600,69,1040,1225,1081600,4761,12552.134735335,-602.134735334999
11690,34,65345,97,1400,85,1060,1156,1123600,7225,13167.5537366415,-1477.55373664148
12450,42,64564,110,1600,85,1080,1764,1166400,7225,12482.5643777046,-32.564377704608
12750,36,63459,97,1400,85,1060,1296,1123600,7225,12901.6824391401,-151.682439140126
11925,44,63451,97,1400,69,1025,1936,1050625,4761,11048.464527367,876.535472632972
12950,33,62000,110,1600,19,1075,1089,1155625,361,12902.5126458967,47.4873541033085
11950,42,61300,97,1400,69,1030,1764,1060900,4761,11426.8195763706,523.180423629379
12900,41,61200,110,1600,69,1045,1681,1092025,4761,11864.5793395661,1035.42066043392
11900,41,61000,110,1600,85,1075,1681,1155625,7225,12573.2641531092,-673.264153109181
11650,38,60829,110,1600,85,1075,1444,1155625,7225,12992.0118656701,-1342.0118656701
10950,44,60500,110,1600,85,1075,1936,1155625,7225,12183.6073035076,-1233.60730350756
13950,35,59500,69,1900,64,1110,1225,1232100,4096,12068.1126448019,1881.88735519815
13950,44,59000,110,1600,85,1110,1936,1232100,7225,12950.8272962877,999.172703712275
11950,40,58954,110,1600,85,1080,1600,1166400,7225,12842.7949749571,-892.794974957067
10950,38,58798,110,1600,85,1075,1444,1155625,7225,13024.2407463337,-2074.24074633373
12450,38,58363,110,1600,85,1055,1444,1113025,7225,12648.6278311082,-198.627831108157
11950,43,58277,110,1600,69,1045,1849,1092025,4761,11643.8529425332,306.147057466773
13500,33,57711,90,2000,210,1165,1089,1357225,44100,14426.5960223075,-926.596022307478
11690,33,57269,110,1600,85,1075,1089,1155625,7225,13782.8786852789,-2092.8786852789
13500,39,56001,110,1600,85,1075,1521,1155625,7225,12927.8975794399,572.102420560137
11950,42,55968,110,1600,69,1050,1764,1102500,4761,11901.923931676,48.0760683240478
12900,39,55678,110,1600,69,1030,1521,1060900,4761,11972.3458283613,927.654171638671
13500,43,55539,110,1600,85,1085,1849,1177225,7225,12595.6045802888,904.39541971118
11750,42,55400,110,1600,85,1075,1764,1155625,7225,12527.5480371337,-777.548037133662
11750,33,55350,110,1600,85,1075,1089,1155625,7225,13813.3302963047,-2063.33029630474
10850,43,54600,110,1600,69,1030,1849,1060900,4761,11447.0351874759,-597.035187475925
11750,43,53773,110,1600,85,1075,1849,1155625,7225,12420.8356892995,-670.835689299494
14950,42,53719,110,1600,85,1105,1764,1221025,7225,13185.6703703391,1764.32962966092
9940,39,53644,110,1600,19,1075,1521,1155625,361,12160.0073185627,-2220.0073185627
12900,42,53350,110,1600,85,1075,1764,1155625,7225,12560.0784188965,339.92158110345
13500,38,53000,110,1600,85,1075,1444,1155625,7225,13116.2461870465,383.753812953479
11750,44,52084,97,1400,69,1025,1936,1050625,4761,11228.8415271225,521.15847287748
11950,44,52000,97,1400,69,1025,1936,1050625,4761,11230.1744793509,719.825520649149
13450,33,51945,110,1600,85,1075,1089,1155625,7225,13867.362466989,-417.362466988952
11950,41,51732,97,1400,69,1025,1681,1050625,4761,11632.0183207544,317.981679245615
12495,39,50873,110,1600,85,1075,1521,1155625,7225,13009.2711392838,-514.271139283816
13500,41,50856,110,1600,69,1030,1681,1060900,4761,11773.5567333932,1726.44326660676
12750,40,50640,110,1600,85,1075,1600,1155625,7225,12874.2904273137,-124.290427313701
12000,39,50000,97,1400,85,1060,1521,1123600,7225,12686.9266850308,-686.926685030796
11950,38,49500,110,1600,85,1075,1444,1155625,7225,13171.7858632271,-1221.78586322707
12495,44,49332,110,1600,85,1080,1936,1166400,7225,12461.2615572507,33.738442749278
12450,34,49291,110,1600,69,1040,1156,1081600,4761,12966.0149694585,-516.014969458472
14750,40,48952,90,2000,210,1205,1600,1452025,44100,14685.9517664544,64.04823354562
10950,39,48945,110,1600,69,1040,1521,1081600,4761,12247.3766026958,-1297.3766026958
13500,33,48928,69,1900,185,1105,1089,1221025,34225,12760.842081696,739.157918304047
12950,38,48197,110,1600,85,1075,1444,1155625,7225,13192.4624912451,-242.462491245135
13500,35,48052,69,1900,185,1105,1225,1221025,34225,12474.8451508053,1025.15484919467
13450,34,48011,110,1600,69,1030,1156,1060900,4761,12818.1383166196,631.861683380372
13500,43,48000,110,1600,85,1075,1849,1155625,7225,12512.4444180396,987.555581960425
11480,41,47350,110,1600,85,1075,1681,1155625,7225,12789.8688902133,-1309.86889021329
13450,39,46821,97,1400,85,1060,1521,1123600,7225,12737.3725794816,712.627420518367
11495,39,46694,110,1600,69,1040,1521,1081600,4761,12283.0965487193,-788.096548719339
12750,43,46515,97,1400,69,1025,1849,1050625,4761,11447.6942143382,1302.30578566184
14990,38,46327,110,1600,85,1055,1444,1113025,7225,12839.6208432536,2150.37915674641
12950,35,46304,97,1400,85,1060,1225,1123600,7225,13320.7812017581,-370.781201758071
12950,40,45886,110,1600,85,1080,1600,1166400,7225,13050.1642573363,-100.164257336297
12850,39,45713,97,1400,19,1085,1521,1177225,361,12442.2256840944,407.774315905557
13950,40,45600,110,1600,85,1105,1600,1221025,7225,13585.7149811735,364.285018826462
11950,41,45287,110,1600,85,1075,1681,1155625,7225,12822.605562202,-872.605562202001
12950,39,45081,110,1600,85,1075,1521,1155625,7225,13101.1813691232,-151.181369123156
11700,40,44830,110,1600,85,1075,1600,1155625,7225,12966.4862897734,-1266.4862897734
9950,37,44757,97,1400,69,1025,1369,1050625,4761,12301.5117010576,-2351.51170105756
11895,44,44218,97,1400,85,1060,1936,1123600,7225,12105.7802407591,-210.780240759103
12950,43,43632,110,1600,85,1075,1849,1155625,7225,12581.7579339129,368.242066087112
12500,36,43427,110,1600,69,1040,1296,1081600,4761,12763.268481056,-263.268481056028
13875,39,43254,110,1600,85,1075,1521,1155625,7225,13130.1730800894,744.826919910602
10500,35,43000,110,1600,69,1050,1225,1102500,4761,13092.7974829753,-2592.79748297529
12295,33,42823,110,1600,85,1075,1089,1155625,7225,14012.1147315944,-1717.11473159436
13950,42,42560,110,1600,85,1080,1764,1166400,7225,12831.7343876122,1118.26561238778
10950,38,41754,110,1600,69,1040,1444,1081600,4761,12502.21413693,-1552.21413693002
12950,44,41499,110,1600,197,1103,1936,1216609,38809,13144.2838129102,-194.283812910211
12850,40,41339,110,1600,85,1080,1600,1166400,7225,13122.3182309343,-272.318230934279
13995,35,41000,110,1600,85,1075,1225,1155625,7225,13741.1452502303,253.854749769709
13750,39,40000,110,1600,85,1055,1521,1113025,7225,12799.2934069075,950.706593092475
12750,37,39757,110,1600,85,1075,1369,1155625,7225,13469.1689904821,-719.168990482072
12500,41,39659,110,1600,69,1045,1681,1092025,4761,12206.4022437389,293.597756261053
13950,43,39650,110,1600,85,1055,1849,1113025,7225,12262.4305133766,1687.56948662343
11500,39,39524,97,1398,69,1025,1521,1050625,4761,12104.8758332757,-604.875833275692
13950,44,39516,97,1400,85,1060,1936,1123600,7225,12180.3938285879,1769.60617141206
11895,41,39439,97,1400,85,1060,1681,1123600,7225,12579.2067905199,-684.206790519895
9950,44,39000,97,1400,69,1025,1936,1050625,4761,11436.4647051643,-1486.46470516429
13500,42,38932,110,1600,69,1040,1764,1081600,4761,11996.3811838785,1503.61881612147
11450,37,38812,97,1400,69,1025,1369,1050625,4761,12395.8498081699,-945.849808169944
12450,42,38665,110,1600,85,1075,1764,1155625,7225,12793.1070316712,-343.107031671194
12950,40,38653,110,1600,85,1080,1600,1166400,7225,13164.9409652831,-214.940965283115
13995,44,38461,110,1600,85,1080,1936,1166400,7225,12633.7677914675,1361.23220853251
11750,42,38078,97,1400,69,1025,1764,1050625,4761,11714.1069339097,35.8930660902588
11650,39,37782,97,1400,85,1060,1521,1123600,7225,12880.8077603376,-1230.80776033761
9950,43,37576,97,1400,69,1030,1849,1060900,4761,11670.7530069826,-1720.75300698258
13950,41,37533,110,1600,85,1075,1681,1155625,7225,12945.6497476603,1004.35025233974
12950,44,37389,110,1600,85,1080,1936,1166400,7225,12650.7788008576,299.221199142359
10950,38,37320,97,1400,69,1025,1444,1050625,4761,12276.7490414545,-1326.74904145447
9900,42,37000,97,1400,69,1025,1764,1050625,4761,11731.2131541734,-1831.21315417335
11950,44,37000,110,1600,19,1075,1936,1155625,361,11751.2242921976,198.775707802404
11990,40,36566,110,1600,85,1090,1600,1188100,7225,13404.69602983,-1414.69602983002
10750,36,36269,110,1600,85,1075,1296,1155625,7225,13669.3440170087,-2919.34401700873
13950,37,36074,110,1600,19,1075,1369,1155625,361,12722.3203326379,1227.67966736211
